"mean_cycles","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26"
1573889794.8,59735232,1060,228209,475898021,997,327078168,146357778,761047558,1900,59328277,89084348,13674,97361,89325797,469025389,515094631,45149,59206130,16195,5024,187406,782292968,64520,30524,133102,272
1591166641.2,59826014,1109,229388,476586986,1075,327551116,148853557,773972789,1909,60332850,90589442,13672,96014,90854208,477129612,523942491,44769,60223914,16325,5148,133800,795779970,64959,117190,133275,273
1576582557,59842590,1208,227921,476733723,964,327651904,148852201,773965935,1912,60332461,90588916,13666,96195,88113003,462589462,508051057,52031,60192855,16581,4993,182804,795510563,65889,197,131795,267
1566805997.8,58897868,1070,225339,469214847,1395,322481672,146653251,762577738,1902,59447180,89262480,13678,97022,89471113,469795327,515935430,45596,59260035,16447,5182,100032,783268406,65457,124557,131770,270
6792671.8,65487,3584,30800,1395609,4502,961959,660442,4138147,642,400005,696632,89,43597,857191,2218600,2976368,30926,288410,41875,12274,192996,7597128,173794,1420,30231,3
1222125264.6,17577730,1550,194687,440658651,1662,291557268,93297270,392493682,2134,4659989,7195355,14428,116959,8595439,342313239,250914945,63296,16656693,34369,9227,172737,660454641,138535,26191,107166,311
1559939127.4,19148463,1046,204010,479663818,1242,317042559,161889638,669023777,1900,6084856,8571083,13659,95139,8958712,486303342,351604844,45107,19425936,16676,4932,96875,769913187,66279,5824,118311,266
1548421295.8,18851330,1344,201097,472327227,1097,312192108,162257578,670537020,1903,6097369,8588196,13662,94913,8737868,472441590,341634863,45605,19480684,16625,4972,177037,772042408,66148,32470,118513,264
1548195546,18857874,1046,197997,472455608,1038,312277309,162179107,670214738,1902,6094756,8584596,13663,95521,8738302,472455896,341632243,48743,19472984,16729,4931,189629,771582083,66515,5440,118507,263
1548352077,18851665,1043,199526,472230069,1033,312128098,159726991,660135189,1898,6011489,8471017,13665,92936,8739230,472562785,341717078,45909,19480463,16792,5038,106585,771850199,66762,383,119797,267
1548542232.4,18867697,1108,199743,472578238,1127,312357782,159719507,660108154,1903,6011877,8471598,13662,93919,8856433,479868411,346950845,43991,19491265,16667,4987,187590,772002356,66278,122159,118501,269
9959915.4,71941,4412,34274,2255453,5106,1567941,659647,4150919,703,404745,701998,106,245146,3654280,7358715,13434805,125405,118033,7568,2185,34388,2796023,31570,5508,45169,2
1186032321.4,8284423,2045,149845,306675249,2038,202701957,127129593,527526427,2189,4378418,6894205,14647,104156,7767519,413588144,298229327,54651,12551789,23205,6687,114897,726014630,92656,36174,83249,329
1569464245.6,12630629,1048,195115,470698136,1022,310775009,161850668,664453002,1906,4376200,6425879,13656,100541,6653177,469970991,336092415,52469,13541924,17035,5148,68674,784082372,67894,35502,122183,285
1552359913.2,12635720,1086,194978,471250806,1072,311139678,159754096,655896593,1897,4327738,6357293,13653,94744,6703807,478794156,342217353,47751,13530075,17096,5099,68647,783217898,68102,3047,117240,271
1553294179.6,12637587,1242,195520,471475332,926,311287917,159709494,655713763,1901,4327046,6356165,13665,94122,6706196,479039269,342365089,45426,13341297,16890,5231,100569,772053947,67158,112095,118504,272
1548399876.8,12649054,1037,195730,471447500,937,311269802,159688931,655629196,1895,4326441,6355316,13655,94768,6707180,479121000,342435601,47045,13330113,17484,5257,74764,771580520,69544,31826,117255,262
1548467072.8,12644464,1133,195435,471352233,1030,311206572,162179570,665799608,1904,4384956,6438219,13654,95276,6621673,471663803,337150958,45928,13337748,17026,5203,102330,771854554,67726,5308,117278,266
9644541.4,64900,3461,30785,2182826,4193,1523646,1888003,12521671,1065,961004,1583409,3368,44303,859380,2228188,2996423,32778,136266,6896,1733,31554,2893792,28476,14280,65995,5
1208829185.6,42854044,1437,146359,281598268,1660,195066401,104795302,578052482,2129,53878741,79741939,14295,124089,86669718,371792555,444121785,56444,61141933,21035,6401,202187,732620328,83960,12872,83364,313
1559934518.4,65161335,986,194504,426308705,1145,295005178,128836410,703279332,1910,65044766,95641415,13618,109384,95959855,419812268,499185310,43682,65539767,16303,5011,180292,783622016,64776,33562,117045,271
1557628061.6,64275648,1736,191884,420609351,1166,291059153,131154097,715876189,1894,66207578,97346713,13541,120675,97650248,427271120,508094439,47169,65545477,16343,4867,64992,783722959,64922,185,114703,265
1567364537.2,66314186,1371,198853,433839226,1919,300219666,131144576,715826380,1887,66202852,97339755,13525,119845,97569384,426914202,507656805,47049,64517434,16256,5078,187203,771525814,64538,10572,115984,268
1548006322.8,64262954,1146,192719,420350529,1335,290878560,129153596,705006188,1887,65203683,95873958,13530,123891,96079298,420341449,499893791,45827,64541262,16252,4971,69747,771791857,64682,67581,115892,271
1543054519.8,64266615,1302,191739,420516863,1004,290994840,129139876,704928690,1882,65196379,95863270,13530,117673,96126924,420549737,500121221,45932,64560917,16413,5002,98958,772028893,65389,5102,114638,269
9971957.4,178315,7990,73847,5910542,11357,3693011,663928,4170487,662,405286,704698,60,38073,640709,1650907,2289083,31104,212334,32302,6650,160531,6800157,135117,4909,50831,1
1195142727,43902191,2266,160766,295617848,2213,206984418,105300998,614357735,2149,71557034,92690227,14436,170828,102186397,389196505,517590077,56688,37259439,25162,6859,110285,469767092,100437,35739,95578,311
1569610617,62036049,1031,195606,416100094,1403,291107722,124657877,720238318,1889,83578558,107433535,13580,146853,107868486,416920543,552657047,47318,62267889,16459,4948,76865,781951623,65440,1868,118353,273
